Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Saudi Arabia,SAU,8046.64928557038,8637.36976581215,9199.63180798168,8723.79027199654,8732.33435016898,9083.91837376489,10050.365936052,12181.7531960986,13468.3051958466,14524.0651102825,16970.3321230237,14592.9220916229,17960.5345376916,20885.2421035807,21903.2837717604,21103.6052919541,21162.1818296448,17766.447471294,17319.8183175574,18360.6450537585,22216.0058845841,22182.1979990759,18838.3821047442,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,7085.44992608178,6523.52890675623,6406.18525429777,5979.26376052811,1987.6868785557,2692.26640866572,3194.70823444257,3797.81840518292,4876.98577547155,6089.63514482018,7545.53378699695,6808.99587703843,8565.3662972312,10604.5815493984,10774.0929660292,10811.8698739139,10181.068967686,11668.4363712122,10789.0752361646,12508.8260126261,9844.1016409587,8237.6981192802,7241.03030233067,9092.08560830429,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,4311.46921232482,2867.9653654609,3082.35837523992,2580.69995030409,2305.23975607041,2494.65905823775,2976.64829456207,3898.8675732753,4830.41055307377,6067.29781894341,7170.01598838933,6936.07526333298,8878.02467633288,10260.0808435099,9351.31113035426,9456.54424882596,9242.57787173242,6666.74707912629,6565.20698073027,7642.22874304387,6984.28849842098,6818.4920461384,5367.94903435073,5775.8395830056,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,2750.17426848421,2691.51680240591,2656.25521890843,2312.45265567408,2209.87685558231,3386.63600821776,4357.49043807754,4881.94027227567,5045.05919187081,5334.00992114111,4767.05887607161,5202.78403288213,6452.33536276352,6933.29980315517,6513.70676196768,5889.12063464434,5559.07100567993,5051.03503831485,4613.22018645003,5410.82562041276,5615.65452107586,5311.80441687553,4522.84001255307,5520.94799061464,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Spain,ESP,13323.8012338315,13617.5185306747,12777.7244687468,13213.9262966176,14726.4397181684,18547.5884308069,21375.5255360234,22509.8931072036,24030.4139136431,27377.4783436333,29598.6105981013,26838.5260367542,25486.3210084568,26212.6958902645,23566.2050882242,24246.78076588,24700.2901040262,21716.4879748108,22489.7334444335,23874.6620027538,25791.5355664114,25125.8717222279,22321.6839380393,25118.4531381716,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Mexico,MEX,4563.20680528816,5126.57548848059,5915.82171011882,6276.27060814213,6286.15252243782,5732.84895489499,6036.26169878541,6543.66474182415,7195.6337665333,7668.30164523624,7868.49407274107,6300.81439813111,7366.4535116167,7895.61204564625,7902.19300156704,8273.18629239973,8590.45619553549,7687.13214773111,6958.92736281275,7373.22454599094,7618.07875434393,7866.61444224569,6535.72718632288,7443.53351798716,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Uruguay,URY,7677.59628577153,7215.74721481127,6809.49216466662,6205.30887082542,4044.41315382509,3410.35913501901,3875.76795791326,5007.3903295534,5685.94094817024,6805.54410544202,8730.59340499925,8967.09402716101,11308.9778354042,13377.3168420144,13468.9150610945,15370.2184385514,15010.8655851817,14193.595040802,15101.8509102972,16722.1828757322,16601.6333739161,15913.7764425847,13782.9033457083,14718.5878720984,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Paraguay,PRY,1525.24004579792,1406.53976712667,1300.22100378123,1259.36691364309,1121.32815108171,1089.35361247956,1383.259242334,1525.83831905719,1952.54580560553,2708.90194271378,3723.95356942442,3312.79009929871,3993.94226819038,4950.51271886429,4767.95115990238,5541.7893174186,5817.49563275226,5169.88318992633,5108.91034408961,5494.81996159761,5583.79991371717,5194.12724845845,4747.87228354581,5263.78826816433,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Latin America & Caribbean,LCN,3798.7290675352,3306.17201136938,3575.2830339765,3448.03342716482,3013.44433287481,3000.1620340927,3388.02562386737,4031.31888766871,4706.06205298332,5554.81896437211,6374.50792924653,5915.36812143509,7191.52905298815,7956.85568110857,7902.88065288904,8089.71838711799,8175.81749175448,6896.48304494471,6630.72451235426,7342.13223813945,7025.63152169826,6894.62671050391,5765.75287854913,6415.20842361039,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,World,WLD,4396.70648805873,4484.41979956051,4552.53013981025,4471.07542320255,4576.31264609314,5056.26382648985,5629.45968781538,5998.76596347814,6441.89991321664,7131.96887377769,7605.58730985725,7153.07133483591,7759.63363800638,8438.8123107582,8563.15493318266,8681.35489372509,8848.49873735918,8282.18270462357,8314.60370574112,8759.1150372206,9132.05720970772,9157.04561219179,8729.53471027953,9707.19280283811,..,..
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Saudi Arabia,SAU,100,100,100,100,100,100,100,43.5047013144968,50.2249881521239,49.868611558899,5.30965429891524,5.98057144421692,6.54210503993072,6.13639842601683,7.89054108958367,7.79198449744049,8.02730299721284,6.45942347295688,5.67335673520702,5.22695762572689,9.0571300677953,9.8563998566217,23.2796280091872,22.0497592794903,9.95746714825966,8.27009515166433
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Argentina,ARG,13.2934542692388,14.802334706267,16.2584854572664,21.6447270140982,32.0057306590258,32.4189793438085,33.9237102032524,37.4850961434239,37.8216073214959,38.214610442025,42.5045612534432,46.5367748308532,44.1530317884991,46.8330868434555,47.7496168230615,47.7922553381145,43.990490754173,44.4595737496967,46.9823168767903,51.7704545722724,49.559229495675,49.9745179656613,66.3193403918182,76.3475026273585,59.1297436225656,52.2513788521477
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,50.9455065645259,50.9087443021859,57.5256446783912,60.2959740726607,56.6667894859512,54.0837391588082,50.794870834336,51.8490252465366,53.813052390002,55.089594866333,55.8210908378937,58.7218815812846,63.0020742009881,62.9703275033644,64.5998779230332,63.2171580256623,66.3110046031498,65.6991807378072,64.9771184398327,64.6838620508214,65.6118990353122,62.8903404899138,69.28059614648,68.1730525594889,65.9050078636405,64.9612703727896
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,16.4771540958559,15.5670915547443,14.4419806632631,16.7733386677578,14.7981334456245,12.5378828247675,13.7087962284697,13.8085376464874,12.9054359294814,14.3674866060984,16.6027050495254,16.7787488724607,17.1049121600678,18.8956827801096,19.1163399993236,20.3995466300222,20.6281024213004,22.8409267274462,24.5301845675231,25.1700934433105,26.4993986906988,26.1570333910893,42.1281504300606,48.9234231573817,39.9996494464059,39.0377863248249
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Spain,ESP,20.593478049945,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.217385508134,28.0158989721413,28.6436618888395,29.2649318531981,28.2122963284587,28.412839122834,29.5768235461561,48.637785944289,43.4877192419681,33.9759799549635,33.3795003637858
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Mexico,MEX,16.5251600112699,18.1717653307096,17.0075583800006,13.3917033680956,19.2041063236578,16.6536499855836,15.5846245959932,14.8793551099952,16.5584890396513,16.4095521265376,16.6215833666287,17.6467858137075,16.9094731935311,18.1642097870831,17.6482513336552,18.7560198110226,18.6756457056134,18.675911347583,18.7359145938177,18.3464042045515,18.5039782567784,20.3255374786308,31.3271530724145,26.1087470153254,21.5420589253406,20.8269331326348
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Uruguay,URY,18.6035933591085,19.0472415979708,7.36464993548612,8.33680647775449,9.92976995840171,12.9025992650348,14.9718517907133,13.6076726828559,17.8137886779776,21.014972888744,20.4255631202154,19.6213797477077,20.4945427441558,17.5228670844715,35.4992886112711,35.9100504252613,36.606738693562,38.3435921772088,34.772133980202,35.7723999415018,35.8054710420406,43.0852369536865,54.2531096826015,65.3572638114354,54.3757749114675,48.5302900591855
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Paraguay,PRY,11.7350890782339,17.9398718580582,18.4435018824763,20.3010454170824,27.5829805442568,19.9785550106511,21.0765796703297,31.8421918150449,36.9303675364244,48.3239317122346,24.1498490392276,30.1645174073422,28.917397098944,27.7870037160214,27.300740206018,25.7295619485569,27.9647214993151,23.5759153291349,25.3944766049197,26.9579427772447,35.390728186154,36.2100219759387,53.3239025032632,66.8687125593029,58.0161654483048,50.455911737162
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Latin America & Caribbean,LCN,26.499463406395,28.5286363580521,28.0842794740948,29.1278497605458,30.0988976364175,28.6695651273599,27.4189699817804,27.9514268412603,28.8892445904267,29.3475063167877,30.8557606918946,32.3314344330732,33.4152102194696,34.4241522738725,35.7759044924401,34.6855451514522,35.1679623465594,33.569290989528,32.7836721661696,32.5471939185073,32.8573477438141,32.5324535681797,47.3509666754961,43.0907046346247,36.6140361295264,35.4278684852237
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,World,WLD,41.0285565732718,40.7046606868821,40.9725550613016,42.1943483703336,43.0453269131133,42.1230160409376,41.7911100451865,41.623073663906,41.6908192131536,41.8545860546318,42.464779693393,44.6823816495432,43.7707776454492,44.2072498201582,44.4610169150868,44.6345990768285,45.752814098843,46.5285434518845,47.7214981415285,47.6829857441027,47.9552762257581,49.0715072852347,59.0833709378825,57.3155506493603,52.4846321100594,53.0187236379812
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Saudi Arabia,SAU,71.3836381016992,75.4758617567844,77.182878617795,64.0158551798561,62.7204593758155,61.5940324585864,66.5889309856674,9.05006209630608,12.705038714037,28.1632520835569,31.1852120640901,26.6335371416301,28.3060402363374,34.1496144382454,23.2950284448789,22.2808320881325,24.5248697045491,23.8998123652576,28.9739144476522,31.8025567435906,34.0062233271893,33.995758016885,32.1019624304005,45.7670995159356,36.7186534126189,34.9835375257218
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Argentina,ARG,16.9017096393552,17.3925011840884,18.8686569912226,21.5796750999581,27.7267758629524,26.7410032074426,28.2973827737301,27.8896323335301,32.196828832102,31.7483577923643,32.8762153224098,37.123534728151,35.4116929080344,36.7336010953886,36.0094060962792,37.7742434286561,37.8890306827603,34.6070879381284,31.1844168936905,31.0602244637248,31.8508155232312,36.6013440563774,53.4880928697146,57.1397786115897,39.2146927934659,39.235453010014
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Brazil,BRA,26.9648102049533,33.1460032621652,35.4448235396803,40.2344205534485,41.5822871296229,45.5871061697016,40.2430934367623,43.6608870081375,43.1970233018328,40.7871774811111,40.2424357621723,45.7200883807673,47.0896117720804,46.0193656987384,48.8313693257227,47.7691546846197,51.3495827549002,57.5809014148135,59.1890151626897,52.8193137996531,51.6533343935731,51.8559260451964,63.5743310236197,52.9579385914894,47.3805176269418,54.2282127491694
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,South Africa,ZAF,15.4880948215741,13.9545663529562,13.5766066985443,16.3492413368216,17.9596506507281,17.5563868569254,19.4182455051397,21.0418075279456,22.1380890306681,22.9240366726955,23.5084039301676,29.7512884792649,30.1067932595605,29.9257724242116,30.6522661944934,33.492163724739,32.9828266494147,35.2760311053832,39.8694130540351,38.4669235465797,36.3122026103158,38.3185027710812,50.7245292342,48.1836384055992,38.1976524435282,41.4155442506154
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Spain,ESP,46.0414527455551,81.2433724021543,81.5515979289824,80.7779211126265,80.4740867826624,80.1205603013641,77.404743664489,74.6291506428475,75.1971818555548,74.3018075171214,74.7973674862538,75.1144986772126,74.1448708123071,74.8021456784283,75.135331133748,47.7892892853136,46.5195212241332,46.3343048407327,47.8202537434554,45.9021129084227,46.396697687232,47.5250282218067,60.0168929833231,54.915523744519,49.7208818410168,53.8342644120239
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Mexico,MEX,18.3065126023815,19.0868131054534,14.9444870635926,13.1209797608575,26.0323289590406,25.2758932666651,24.7595373510075,24.1992323626962,23.9671225675404,23.8572133579936,23.0177095770477,26.9462169527064,28.7065882614052,28.8011766521857,30.3190175422125,29.1948201336325,29.1306528045062,30.2873181109498,30.4751401539729,30.6253565708578,31.9065979667713,32.5740291059397,37.3822020680112,33.1276279653308,34.2168764539705,32.6456278981628
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Uruguay,URY,16.7428433966803,14.8913759052008,12.9031239027323,14.6670634715404,18.1332417309644,21.060926355484,21.2012257588727,21.0624988269641,24.402456079446,21.5023746950201,28.0128712054083,25.1424050237697,21.7415882425731,22.5392871283176,39.0081712199998,39.8798454412766,35.7647349223672,36.9139012017531,44.4401113520502,43.8356352548176,44.2395688281862,45.625659631676,58.5976524316584,53.3623322571578,44.6074881802663,43.9787339724868
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Paraguay,PRY,1.32993259245764,2.4390243902439,4.17670271101318,5.54192285422812,7.25201531326839,8.07296452136272,2.78357689631176,2.58195581871416,3.2298329152936,2.86667270607316,5.62540082811397,5.36631319205404,5.95244843671378,5.86857358967643,6.05033116180624,8.42134421516049,9.98619844653257,10.9178854737305,11.6245121466768,13.7382961609512,17.0097192756609,18.5672124614915,28.2034416166496,31.2722079312716,22.8522070651875,18.6765734905599
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Latin America & Caribbean,LCN,21.3583450448554,23.2245127237009,21.9036718703439,21.8092898066618,27.1998799028549,27.7964569514669,26.4485149202858,26.4255270980919,26.6027022080008,26.7366939109724,26.850554036085,30.5832201945068,31.1924939121811,31.7678471012265,33.215259564053,33.4147969332491,34.6039846626632,36.1533887730428,36.6797289526293,35.1946388135671,36.0275230593547,36.2295708270363,43.7919977224613,37.6012764142564,34.2743594426494,35.7201698306922
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,World,WLD,35.4216197146943,36.8790877855502,36.0488413102363,36.4266351215465,37.1833011102439,37.386767699554,36.9906692523036,36.8456289630673,37.5048899920379,38.0808301956699,39.143844970644,40.867476555779,39.9012676954315,40.2194806413981,40.3874093756242,40.9814518340658,41.145433684734,42.2882997302562,42.9935325234896,42.8820447232187,43.09854175633,43.7701233668671,53.1152380478671,51.1994313357539,45.8849595516772,45.1555769088705
Control of Corruption: Estimate,CC.EST,Saudi Arabia,SAU,-0.263509094715118,..,-0.195145681500435,..,0.182221665978432,-0.167679190635681,-0.297835916280746,-0.103524342179298,-0.195399954915047,-0.169473513960838,-0.0146756879985332,-0.0205527171492577,0.0369552858173847,-0.312528073787689,-0.045678298920393,-0.0275518335402012,0.0814037397503853,0.0213859882205725,0.198880642652512,0.332312196493149,0.330702602863312,0.246933832764626,0.241704508662224,0.282917559146881,0.357307374477386,0.536042988300323
Control of Corruption: Estimate,CC.EST,Argentina,ARG,-0.20348159968853,..,-0.172407656908035,..,-0.417055726051331,-0.479976803064346,-0.414409548044205,-0.377738356590271,-0.33123853802681,-0.372122079133987,-0.434875011444092,-0.445475101470947,-0.355230033397675,-0.364098519086838,-0.445909202098846,-0.434306710958481,-0.549791395664215,-0.581265270709991,-0.299235552549362,-0.309002459049225,-0.0992739275097847,-0.107116244733334,-0.163570061326027,-0.422596842050552,-0.447221606969833,-0.360883951187134
Control of Corruption: Estimate,CC.EST,Brazil,BRA,0.0414753258228302,..,0.0132387839257717,..,0.0819423124194145,0.090239018201828,-0.0272687114775181,-0.153748139739037,-0.120479896664619,-0.0839887857437134,0.00343736819922924,-0.079985611140728,0.0438063591718674,0.168382421135902,-0.0468542315065861,-0.0979596078395844,-0.366117089986801,-0.457840710878372,-0.446095585823059,-0.559814631938934,-0.480954378843307,-0.40789270401001,-0.429083496332169,-0.499217957258224,-0.566354334354401,-0.503643155097961
Control of Corruption: Estimate,CC.EST,South Africa,ZAF,0.638808608055115,..,0.550269722938538,..,0.332901507616043,0.275540828704834,0.397753119468689,0.483857184648514,0.37827143073082,0.197672486305237,0.153828725218773,0.125426694750786,0.0653930976986885,-0.00423370534554124,-0.184170603752136,-0.138074696063995,-0.125287011265755,-0.0708397477865219,0.0170262884348631,-0.12777316570282,-0.136797428131104,-0.0312809906899929,-0.0594757050275803,-0.0341691114008427,-0.33009460568428,-0.284670442342758
Control of Corruption: Estimate,CC.EST,Spain,ESP,1.35599553585052,..,1.32828283309937,..,1.31682515144348,1.3489111661911,1.33718907833099,1.32761585712433,1.17766547203064,1.07903242111206,1.17877197265625,1.05494809150696,1.16003704071045,1.16321241855621,1.17040634155273,0.926990270614624,0.689240038394928,0.630986750125885,0.569826066493988,0.510279893875122,0.612778782844543,0.666394531726837,0.711801946163177,0.715437471866608,0.685416162014008,0.629368722438812
Control of Corruption: Estimate,CC.EST,Mexico,MEX,-0.38992303609848,..,-0.073860302567482,..,-0.250572264194489,-0.2415871322155,-0.389334857463837,-0.344179540872574,-0.325125187635422,-0.341457366943359,-0.309849888086319,-0.365960121154785,-0.439748138189316,-0.474737763404846,-0.484527587890625,-0.591898560523987,-0.84301882982254,-0.888967394828796,-0.850662291049957,-0.952429533004761,-0.949163556098938,-0.917449772357941,-0.921630203723907,-1.02063989639282,-1.01208603382111,-1.02057874202728
Control of Corruption: Estimate,CC.EST,Uruguay,URY,1.07573640346527,..,0.957407116889954,..,0.945743262767792,1.10140347480774,0.894058406352997,1.08176851272583,1.13004350662231,1.28093576431274,1.34595167636871,1.25000429153442,1.29770147800446,1.28997790813446,1.37811684608459,1.39722573757172,1.38809323310852,1.3004002571106,1.24705672264099,1.25341796875,1.20765292644501,1.19539678096771,1.36466670036316,1.58596456050873,1.61050200462341,1.57394731044769
Control of Corruption: Estimate,CC.EST,Paraguay,PRY,-1.32642936706543,..,-1.37370228767395,..,-1.36506843566895,-1.43683886528015,-1.42646288871765,-1.35583305358887,-1.16153120994568,-1.21103572845459,-0.979693531990051,-0.788950502872467,-0.707593381404877,-0.695635735988617,-0.850602805614471,-1.04813194274902,-1.01107943058014,-1.01891994476318,-0.763090431690216,-0.75071793794632,-0.870756983757019,-0.893645703792572,-0.857888102531433,-1.0265417098999,-1.0905796289444,-1.05772292613983
Control of Corruption: Estimate,CC.EST,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Control of Corruption: Estimate,CC.EST,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Saudi Arabia,SAU,29.1883475530879,26.7446189971291,24.2356134468207,27.090480162661,28.9483976585816,28.2333101439677,32.3542594274042,35.4189179790554,33.7245867667594,37.071588765142,37.6843188466467,45.6298013133911,39.1642133869688,33.8287930069599,36.0513945139664,39.8336865827707,43.697727889377,54.6460465886975,56.2764309584284,51.9798284673154,..,..,..,..,..,..
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Argentina,ARG,24.1532987732827,24.8933437498898,23.8947336198062,20.833574652466,15.3318584042485,10.7627059172487,9.68251819633223,10.6534929189359,11.9102616607561,13.0985413493544,12.313946714342,12.4162075416805,12.6901062454749,14.0087151168124,15.2128150156924,15.7290920133564,13.8237692455151,14.4142330417064,13.6676334273514,15.9584973420583,..,..,..,..,..,..
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Brazil,BRA,29.5322605655103,29.8269102028347,31.1409857776162,29.0040380210043,29.6451419418143,27.6856699444345,29.372770255415,31.8397841564577,35.4251666677718,40.6909379403607,45.7822559936968,47.4942898437646,52.7646576277272,58.0784911048748,62.5192931966295,64.2305738235588,66.028510394056,66.829700644229,62.1940069702965,59.4843092982775,60.2183479373178,62.7905050746972,68.6961548524775,68.805224677681,70.606097378297,71.6466556109593
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,South Africa,ZAF,103.718943195112,118.174400475191,117.095366481502,121.069745626228,97.3173728340893,102.767701183828,112.820913420211,122.283168033262,139.007367744321,142.422045511185,125.955880255506,121.094546324717,124.093899905646,118.970675992703,125.167785450237,127.029272479724,128.838374779653,127.203244242731,124.360496111764,127.030283858454,118.380857963487,117.185556861489,109.054691372725,92.9969726414732,91.806470379443,90.9590651443249
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Spain,ESP,..,..,..,94.9394409772958,99.2929603794007,106.544052882645,115.928325847413,135.871253994626,156.580256642945,167.635941463016,170.743020696995,173.382324159591,171.325123358508,167.027107954599,157.434331694924,145.759575372544,129.358996447371,118.216890256018,110.901834158974,105.15698823272,98.8298869234399,94.4116262931619,107.572523897153,98.4256244971566,88.2557080550862,78.3201096692037
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Mexico,MEX,17.9317776437342,15.5385350011939,14.3477809538876,12.240977231732,14.1782625347913,14.6412754628782,14.1054932641584,15.3135908131833,18.3518916727969,20.4394698049344,19.7553753221619,21.6119225648182,22.3237750257634,23.5848328387345,24.9270563810171,27.859059328804,28.1836821076474,30.8304978674097,32.9508423866166,34.3431256723362,33.6152178137641,35.5851864927593,36.9325897624109,35.0570605439334,34.310096245079,33.3239602176898
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Uruguay,URY,40.5212690015352,43.5957665000782,45.0942269291081,53.8538856752747,70.5117382668268,43.186543114802,24.1933895956931,22.4749430738691,23.7519352815852,23.0299725881958,27.1685339479512,19.8647260994371,21.4040361151246,21.9739905078767,22.1705291861539,24.3768815230441,25.1667931664776,27.8140085275854,25.6815818820962,23.9263002049947,24.9448516272117,25.3082493564221,27.8278600422293,26.7042736084257,26.7890457790898,28.8567924022798
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Paraguay,PRY,24.5219309952657,25.0551605442253,23.7603984264133,24.1686675413357,20.8556279671977,12.6861707511378,12.2968111859529,12.2808884618236,11.6682860592129,13.7176649664944,18.759698013852,21.5814306496874,25.4241390581724,28.9522503181962,31.5463020861537,34.3778942787921,38.1381490369685,43.3496464702998,41.3557191308076,41.1558966178086,44.5974774295712,47.7506335037991,50.7131734297599,49.4627024962652,51.0176123623542,52.5526748453822
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Latin America & Caribbean,LCN,25.3707811311038,23.5983049470539,22.4652464410397,22.1301246220264,22.6621657766132,22.2144699462383,22.8136692141693,24.7545041897559,28.0309151116049,31.9123267196723,34.3181587848979,36.3558106045784,39.1599508673123,42.8554177257376,45.1152427792821,46.8663288662394,49.0571177057409,48.6422609724301,48.2241575877139,48.2555640208828,52.7601002151347,54.4224471281838,58.6788591661827,55.6098086109002,55.5682229235925,55.3649659295841
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,World,WLD,129.29532505604,139.571109004311,135.043012775488,123.878431473934,121.022288307287,124.786180378095,124.601572767625,125.532751395619,128.132977296128,128.357193883873,120.336695915816,124.995367457145,119.719252772406,115.086494672837,115.980499573705,118.01991108877,119.585139506723,124.006364977797,125.850867486304,126.707274769776,126.116468359002,131.691339548632,147.633635081593,144.832579376224,140.859260382603,146.495074608228
